,Salariati,Someri ,Accidente colective munca,Salariul net mediu lunar,Natalitate,Sectii sportive,Sportivi,Populatia activa(mii pers),Populatia ocupata(mii pers.),Personal didactic,Varsta medie a populatiei,Populatia rezidenta,Unitati de invatamant,Casatorii,Varsta medie a sotului,Varsta medie a sotiei,Pensionari,Absolventi bacalaureat
Giurgiu,-0.6114395359643102,-1.1379513052316548,-0.6162495185552518,-0.12401790464002412,-0.7653759999075147,-0.5842644473055674,-0.3979772515632951,-0.6888156397619533,-0.6740388419830364,-0.7764176646786817,0.7785218174154375,-0.7729377263155074,-0.905136705900428,-0.6622107243622024,-1.1995002702925694,-0.9134791828623621,-0.8449203294463097,-0.8563076722767061
Gorj,-0.3385364934455719,-0.4515265500116428,-0.6162495185552518,0.06904937570086365,-0.6447205387148934,-0.5620420277567026,-0.6143604698215115,-0.3821130688333058,-0.376935432926938,-0.4543607736764921,-0.2666170607587088,-0.5615990849431123,-0.5686181476244836,-0.48495868599949554,-0.7178653625269099,-0.822993037390146,-0.44743652984897786,-0.25451681144287835
Harghita,-0.37703208362762863,-0.09232804454717841,-0.6162495185552518,-0.814995539544254,-0.46657407406998863,-0.14537166121548978,-0.22434451715548628,-0.3771573719960386,-0.3780440277368488,-0.29636180688960023,-0.7891864998457845,-0.6472099788356688,-0.4166420245321216,-0.712621854538752,-0.8141923440800432,-0.9134791828623621,-0.5533844656954647,-0.4978725893765578
Hunedoara,-0.16547149568215694,0.15594630845777838,2.4287481025412867,-0.6930583098552723,-0.4953195757961304,-0.03425956347116634,0.03150068619541385,-0.1976510198905824,-0.20177745296102922,-0.4389803432813079,1.1517857024776328,-0.3709330059009741,-0.6228953344431843,-0.24103386256457784,1.6903091763013878,1.801105181304085,0.16657626265298964,-0.2835505810445104
Ialomita,-0.5360104755450175,-0.5617982074566827,-0.6162495185552518,-0.4288609788624785,-0.6783830341573489,-0.5675976326439188,-0.6326445229144549,-0.6177839850944569,-0.6125118300329863,-0.8146357038424726,0.03199404729104654,-0.8120663618080396,-0.8508595190817273,-0.7841731360796612,-0.23623045476125037,-0.18959001908464307,-0.8308017329464191,-0.694774335947626
Iasi,0.34718599123108523,0.9079468126317933,3.951246913089556,1.2477759293610204,1.6473549936590406,0.3601883835211819,0.04320774177291005,0.4636591913936286,0.45118489007644086,1.494060113204338,-2.1329364860696858,1.249388590904351,1.1031192063914983,1.674589084144309,-1.2958272518457028,-1.184937619279007,0.5845656428811149,1.0878991175925812
Ilfov,0.29626225734706313,-1.56761927225863,-0.6162495185552518,1.2863893854291981,0.21386221021065613,0.27685431021293927,0.20986885881434475,0.11896294471259948,0.14632131735096685,-0.5130860533671953,-1.8343253780199307,0.36812610071686896,-0.34065396298594064,0.4549649669697206,0.34173143455754246,0.8962437265819371,-0.5069509449085577,-0.927572379480712
Maramures,-0.11500194645169506,-0.7304681686965812,-0.6162495185552518,-0.5223461882906978,-0.045603765896360164,-0.0009259341478693094,-0.17317547648530626,-0.07100543404930965,-0.059323019887489364,-0.10061087458725633,-1.0131448308830997,-0.007632827383655085,0.14784071838236576,-0.15051065031206395,-0.5252113994206502,-0.5515346009735009,0.007164738818304456,0.044267072093916796
Mehedinti,-0.5438348384404409,0.029688523158279984,-0.6162495185552518,-0.7540269246997631,-0.8432914387967937,-0.7398213841476201,-0.7290633064909124,-0.5858472721431793,-0.5903399338347699,-0.7025449914169638,0.9278273714403177,-0.8792371860702197,-0.6988833959893653,-0.703406916764544,-0.13990347320811708,-0.09910387361242698,-0.7568033332787735,-0.6103124607428783
Municipiul Bucuresti,5.946154189580072,2.3183147864037092,-0.6162495185552518,4.021847904785355,5.018899761906772,5.510234113970573,5.675748414001982,5.8796852015447545,5.879419376804748,5.196083101960332,0.03199404729104654,5.079013769869003,5.3150289035226725,5.088994557069968,1.4976552131951213,1.8915913267762947,5.371924482765835,5.524259112721957
