,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Calarasi,-2.3476589798089016,1.0787685980184516,-0.5399549136705679,-0.028455319523619283,-0.2552517393830265,0.19749868568820575,-0.1604182285086915,0.0741037478808551,-0.17125128900267259,0.0017642207238857325,-0.02739719352874649,-0.04404334839594302,-0.04789550022365918,0.005444531956696664,0.04419813837381677,0.025266477763568714,0.017234773211387798,-0.0001515965878145246
Caras-Severin,-2.2125648393943034,1.9387117953214035,-0.4264248791794553,-0.05861735395520096,0.1847985987701219,-0.21206489930230094,-0.1198959614854127,-0.19293024131786682,-0.09359159258095819,0.03484635679501485,-0.10906457252876033,0.11390983028730979,0.1289946407446718,0.11183430729657508,0.0791846008960872,0.04673964061877662,-0.009699390677517452,-6.7788332196775e-05
Cluj,4.065724849913025,0.2584008904071059,-0.8469687799949758,1.3513122917569722,0.8221301364310826,1.3372364905942113,-0.31730223441481914,-0.47743921007094586,0.0719046283034845,0.23274901299792694,-0.008068400754953242,0.03953903697928857,0.024701368490945393,0.06381123678825958,-0.004407284100552369,-0.012133679765972885,-0.037213926256977815,-1.5561981535166687e-05
Constanta,2.376903258024897,0.5734147771037652,-0.04544274132435952,1.1925145364958358,-0.7329864622459789,-0.6081868840411689,0.09903392469893202,0.04959816195139325,0.3437724832626586,-0.05159926780759577,-0.1478892073108732,0.030141775041080357,0.22870293995276178,-0.1653008695469772,-0.10987411997466391,0.08518566069160476,0.009200579237961925,-0.00014749412507683511
Covasna,-2.724631845196882,0.4366540785691329,-1.1882793396786346,0.12143041109827711,-0.6850393049078213,-0.20423586738764024,0.47953748600956625,-0.1809820869912204,-0.24316029076555096,-0.014855216113057722,-0.017097029045522294,-0.09017641640047895,-0.007453242188300316,0.10026825619030585,0.004742805665842818,0.08665129072107537,-0.00999552005409716,-2.8938393741290064e-05
Dambovita,-0.4337658401781706,-0.8019330426774266,0.12192122581092064,0.677064506837403,0.24200287680415447,-0.4765080729015859,0.09283852360753553,0.18501670187535407,0.2944501601129167,-0.003680591113987783,0.13780005926006364,0.03492955648449193,-0.09558281990141786,-0.01342707125766631,-0.03203113055609773,-0.003127197009398921,-0.07555748762787029,-6.189476739949482e-05
Dolj,1.440668649827476,-1.5509275368656994,3.26417422336694,-0.4090599605130244,-0.8635998413354861,1.0806185415809646,0.35992352720182597,0.09859534373776507,0.0669847975902413,-0.0339964887695426,-0.0670992766453744,-0.008133505638158652,-0.11092901366242605,0.1414693800959314,-0.10550332975080055,0.07303639936100814,-0.02369169390504534,-4.088011604732781e-07
Galati,0.37755279994505947,0.27485602477292437,0.8671070856106662,-0.5961802206147532,-1.3407365814150733,0.26510607892719457,-0.18424500426592572,-0.16782732602927697,-0.13351477603357764,-0.06566877753744815,0.16136654507592954,0.08325837109194811,0.09703257084132157,0.13587035449155793,0.018872974228202194,-0.0002571574506628986,0.051855027316123355,0.000125914511411267
Giurgiu,-2.754541309638437,-0.4435379975270628,-0.5451139982948484,-0.764898774523471,1.3175859745514622,0.43464297825302983,-0.1763640388588647,0.3851918123608252,0.16454711383188675,0.16095528047263813,0.06307611480677257,-0.1162656609277506,0.12387873803660077,0.06076134639320911,-0.016400559830449975,0.02152657394245553,0.041384973808213286,-3.853578291856291e-05
Gorj,-1.743632050601464,-0.7372016747405754,-0.6126391774250382,-0.554969943098366,0.2875273709320226,0.3636105265330099,0.0035739276168253765,-0.18412200426742995,-0.2334841076720233,-0.2837678106323723,0.19193930232609427,-0.09384694482855424,0.026028642659753316,0.03298161229693035,-0.09800509346773606,0.033025163327657224,-0.013269521904401905,-3.239391314311755e-05
